x	y	z	elevation_mask	use_for_kriging	LCV.pred	LCV.var
-14450	18250	455	574.272274509617	TRUE	1381.6954865009	88577.9293056953
-14350	18250	455	571.675974122248	TRUE	1365.6831279158	88482.2500470306
-14250	18250	455	572.539694400236	TRUE	1340.24242568081	88274.1703979287
-14150	18250	455	572.317940824147	TRUE	1328.84438462613	87988.5908704312
-14050	18250	455	575.837926979826	TRUE	1336.11554952159	87735.4112111029
-13950	18250	455	578.957385122042	TRUE	1355.61992095228	87654.7386280045
-13850	18250	455	580.732375717544	TRUE	1377.84012833955	87806.5332394262
-13750	18250	455	581.318158898654	TRUE	1396.72686281033	88105.3942954347
-13650	18250	455	581.245307515198	TRUE	1402.18952770598	88391.8346820863
-13550	18250	455	580.522772152438	TRUE	1391.42645821868	88564.0714059032
-13450	18250	455	579.016518059597	TRUE	1378.25894511438	88628.9641677688
-13350	18250	455	578.390444107054	TRUE	1377.50436140463	88647.7698274633
-13250	18250	455	577.278099559053	TRUE	1377.50398183883	88650.3126492328
-13150	18250	455	581.732446985413	TRUE	1377.46106338824	88650.8264624395
-13050	18250	455	585.647155712309	TRUE	1377.45810616289	88650.8561701002
-12950	18250	455	591.164169423235	TRUE	1377.45810616289	88650.8561701002
-12850	18250	455	593.489000017612	TRUE	1377.45810616289	88650.8561701002
-12750	18250	455	593.079500806171	TRUE	1377.45810616289	88650.8561701002
-12650	18250	455	592.950831821134	TRUE	1377.45810616289	88650.8561701002
-12550	18250	455	597.681063200347	TRUE	1377.45810616289	88650.8561701002
-12450	18250	455	597.903484867105	TRUE	1377.45810616289	88650.8561701002
-12350	18250	455	603.318540493268	TRUE	1377.45810616289	88650.8561701002
-12250	18250	455	598.480703826502	TRUE	1377.45810616289	88650.8561701002
-12150	18250	455	596.523986727217	TRUE	1377.45810616289	88650.8561701002
-12050	18250	455	591.800212264032	TRUE	1377.45810616289	88650.8561701002
-14950	18350	455	586.986523962699	TRUE	1406.16853857048	86648.4501932364
-14850	18350	455	585.725404292045	TRUE	1401.13581556714	87366.794243307
-14750	18350	455	583.441780401413	TRUE	1395.32648174003	88071.5920322356
-14650	18350	455	581.753951931439	TRUE	1389.89185825822	88441.8738651861
-14550	18350	455	580.177011796362	TRUE	1386.59475358378	88485.4754969489
-14450	18350	455	578.656958320575	TRUE	1382.08920579791	88393.5331389814
-14350	18350	455	576.914149697933	TRUE	1373.80877899226	88301.4152676117
-14250	18350	455	576.586147075431	TRUE	1357.05565339367	88227.6290826595
-14150	18350	455	577.536356863582	TRUE	1344.42177830287	88169.5355619338
-14050	18350	455	579.7348199356	TRUE	1342.82317647729	88161.1349567106
-13950	18350	455	581.857584396235	TRUE	1349.23300271082	88232.5948744726
